Vessel_ID,Timestamp,Maintenance_Type,Failure_Code,Repair_Time_hours,Incident_Type,Risk_Category,Maintenance_Cost_USD
SHIP_0001,2024-03-19,Hull Inspection,,0.0,Weather Damage,Low,46543.84119081718
SHIP_0001,2024-08-25,Hull Inspection,,0.0,Normal Operation,Medium,19297.29653764431
SHIP_0001,2024-12-21,Safety Systems,,24.488266800144697,System Malfunction,Low,27280.25160463896
SHIP_0001,2024-03-20,Hull Inspection,,0.0,Weather Damage,Low,17238.516340683043
SHIP_0001,2024-09-24,Propeller Repair,,20.15529597240989,Normal Operation,Medium,33341.341243349736
SHIP_0001,2024-05-02,Safety Systems,F006,46.175970157561,Weather Damage,Low,23778.283391929126
SHIP_0001,2024-09-13,Safety Systems,,0.0,Normal Operation,Low,46419.43740521592
SHIP_0001,2024-10-27,Propeller Repair,,21.01620621032759,Collision Warning,Low,2976.8888535548476
SHIP_0001,2024-02-21,Navigation Equipment,,7.451833733460562,Human Error,Medium,33129.92172899624
SHIP_0001,2024-01-05,Engine Service,,27.558437665785828,Human Error,Medium,31579.261961527653
SHIP_0001,2024-11-15,Safety Systems,F007,32.801664729311746,Human Error,Low,18318.853550948355
SHIP_0001,2024-06-15,Hull Inspection,F002,0.0,Mechanical Failure,High,2603.0109838529834
SHIP_0001,2024-12-02,Propeller Repair,F007,0.0,System Malfunction,High,13873.486658614664
SHIP_0001,2024-05-10,Navigation Equipment,F002,12.134800774805148,Collision Warning,Medium,26801.142787162884
SHIP_0001,2024-07-13,Safety Systems,F004,0.0,Weather Damage,Medium,26377.1784638014
SHIP_0001,2024-06-26,Propeller Repair,F007,0.0,Human Error,Low,15423.764017563777
SHIP_0001,2024-08-09,Hull Inspection,,38.42061202590831,Human Error,Medium,28366.5620308336
SHIP_0001,2024-12-30,Propeller Repair,F004,0.0,Normal Operation,Low,40152.98530114872
SHIP_0001,2024-02-14,Hull Inspection,F007,0.0,Collision Warning,Medium,33313.421644941285
SHIP_0001,2024-01-04,Navigation Equipment,F003,0.0,Collision Warning,Low,49806.887498824
SHIP_0001,2024-05-02,Electrical System,F006,0.0,Mechanical Failure,Low,19017.019520538568
SHIP_0001,2024-04-03,Hull Inspection,F006,46.871607594809994,Human Error,Low,38535.138344643114
SHIP_0001,2024-08-17,Navigation Equipment,F007,0.0,Human Error,Low,15686.21098769479
SHIP_0001,2024-11-28,Navigation Equipment,F004,0.0,System Malfunction,Low,16537.83502876446
SHIP_0001,2024-12-24,Navigation Equipment,F007,0.0,Normal Operation,Medium,33354.34699345247
SHIP_0001,2024-10-26,Navigation Equipment,,0.0,Human Error,High,10699.319271912518
SHIP_0001,2024-03-21,Electrical System,,37.65667912408387,Normal Operation,Low,4160.690019394073
SHIP_0001,2024-04-03,Navigation Equipment,F003,21.05799955400045,Normal Operation,Low,15343.850155898343
SHIP_0001,2024-12-28,Safety Systems,F003,25.427843745840452,Human Error,Medium,36730.3648707239
SHIP_0001,2024-03-03,Navigation Equipment,F004,6.23366728541212,Normal Operation,Low,40742.196963461996
SHIP_0002,2024-12-14,Propeller Repair,F007,0.0,Mechanical Failure,Low,47554.00530565575
